PathRow S2TileID S2ULX S2ULY PercentOfS2
001068 19LGG 699960 8700040 59.9
001068 19LGH 699960 8800000 98.2
001068 19LGJ 699960 8900020 14.3
001068 19LHG 799980 8700040 0.1
001068 19LHH 799980 8800000 10.9
001068 19LHJ 799980 8900020 1.3
001069 19LEE 499980 8500000 7.0
001069 19LEF 499980 8600020 33.6
001069 19LEG 499980 8700040 11.4
001069 19LFE 600000 8500000 25.7
001069 19LFF 600000 8600020 100.0
001069 19LFG 600000 8700040 60.1
001069 19LGE 699960 8500000 17.4
001069 19LGF 699960 8600020 62.1
001069 19LGG 699960 8700040 36.4
001070 19LED 499980 8400040 51.5
001070 19LEE 499980 8500000 53.8
001070 19LEF 499980 8600020 4.5
001070 19LFD 600000 8400040 85.0
001070 19LFE 600000 8500000 91.9
001070 19LFF 600000 8600020 2.4
001070 19LGC 699960 8300020 0.2
001070 19LGD 699960 8400040 20.9
001070 19LGE 699960 8500000 32.7
001071 19KDB 399960 8200000 5.0
001071 19KEB 499980 8200000 38.9
001071 19KFB 600000 8200000 39.5
001071 19LDC 399960 8300020 4.7
001071 19LEC 499980 8300020 93.7
001071 19LED 499980 8400040 36.0
001071 19LFC 600000 8300020 92.2
001071 19LFD 600000 8400040 32.7
001071 19LGC 699960 8300020 3.5
001071 19LGD 699960 8400040 3.4
001072 19KDA 399960 8100040 37.2
001072 19KDB 399960 8200000 21.5
001072 19KEA 499980 8100040 97.1
001072 19KEB 499980 8200000 78.6
001072 19KEV 499980 8000020 7.1
001072 19KFA 600000 8100040 52.2
001072 19KFB 600000 8200000 45.6
001072 19KFV 600000 8000020 6.8
001073 19KDA 399960 8100040 15.1
001073 19KDU 399960 7900000 42.1
001073 19KDV 399960 8000020 63.8
001073 19KEA 499980 8100040 19.4
001073 19KEU 499980 7900000 66.1
001073 19KEV 499980 8000020 100.0
001073 19KFA 600000 8100040 4.1
001073 19KFU 600000 7900000 11.0
001073 19KFV 600000 8000020 32.0
001074 19KCS 300000 7700020 2.8
001074 19KCT 300000 7800040 12.7
001074 19KCU 300000 7900000 0.3
001074 19KDS 399960 7700020 20.3
001074 19KDT 399960 7800040 98.8
001074 19KDU 399960 7900000 56.0
001074 19KES 499980 7700020 22.5
001074 19KET 499980 7800040 83.2
001074 19KEU 499980 7900000 50.0
001074 19KFT 600000 7800040 0.2
001074 19KFU 600000 7900000 2.6
001075 19KCR 300000 7600000 33.8
001075 19KCS 300000 7700020 32.7
001075 19KCT 300000 7800040 3.1
001075 19KDR 399960 7600000 79.4
001075 19KDS 399960 7700020 96.5
001075 19KDT 399960 7800040 6.2
001075 19KER 499980 7600000 39.7
001075 19KES 499980 7700020 52.9
001076 19KCP 300000 7400020 29.4
001076 19KCQ 300000 7500040 72.2
001076 19KCR 300000 7600000 28.1
001076 19KDP 399960 7400020 46.7
001076 19KDQ 399960 7500040 100.0
001076 19KDR 399960 7600000 38.2
001076 19KEP 499980 7400020 5.0
001076 19KEQ 499980 7500040 23.9
001076 19KER 499980 7600000 10.4
001077 19JCM 300000 7200040 2.8
001077 19JCN 300000 7300000 92.8
001077 19JDM 399960 7200040 8.4
001077 19JDN 399960 7300000 75.8
001077 19KCP 300000 7400020 77.3
001077 19KDP 399960 7400020 64.7
001077 19KEP 499980 7400020 1.2
001078 19JBL 199980 7100020 27.0
001078 19JCL 300000 7100020 60.7
001078 19JCM 300000 7200040 100.0
001078 19JCN 300000 7300000 24.9
001078 19JDL 399960 7100020 28.1
001078 19JDM 399960 7200040 56.5
001078 19JDN 399960 7300000 9.0
001079 19JBJ 199980 6900040 14.2
001079 19JBK 199980 7000000 78.2
001079 19JBL 199980 7100020 41.9
001079 19JCJ 300000 6900040 27.5
001079 19JCK 300000 7000000 100.0
001079 19JCL 300000 7100020 56.9
001079 19JDJ 399960 6900040 2.0
001079 19JDK 399960 7000000 18.0
001079 19JDL 399960 7100020 15.2
001080 19JBH 199980 6800020 74.3
001080 19JBJ 199980 6900040 94.9
001080 19JBK 199980 7000000 8.9
001080 19JCH 300000 6800020 61.9
001080 19JCJ 300000 6900040 79.3
001080 19JCK 300000 7000000 0.9
001080 19JDJ 399960 6900040 0.8
001081 19JBF 199980 6600040 42.2
001081 19JBG 199980 6700000 100.0
001081 19JBH 199980 6800020 43.3
001081 19JCF 300000 6600040 19.8
001081 19JCG 300000 6700000 52.6
001081 19JCH 300000 6800020 20.8
001082 18HYJ 699960 6400000 2.7
001082 19HBD 199980 6400000 9.6
001082 19HBE 199980 6500020 98.5
001082 19HCD 300000 6400000 1.0
001082 19HCE 300000 6500020 15.7
001082 19JBF 199980 6600040 75.4
001082 19JCF 300000 6600040 20.5
001083 18HYH 699960 6300040 60.8
001083 18HYJ 699960 6400000 100.0
001083 19HBC 199980 6300040 49.2
001083 19HBD 199980 6400000 88.6
001083 19HBE 199980 6500020 16.2
001083 19HCD 300000 6400000 1.4
001083 19HCE 300000 6500020 0.7
001084 18HXF 600000 6100000 11.9
001084 18HYF 699960 6100000 23.4
001084 18HYG 699960 6200020 95.5
001084 18HYH 699960 6300040 56.9
001084 19HBA 199980 6100000 13.5
001084 19HBB 199980 6200020 52.7
